"Original text",Rule,Explanation,URL,"Display name","Original text is case-sensitive","Replacement text is lowercase at the start of a sentence","Context awareness"
—,,"Em dashes are banned per CoreDirective rules of engagement. Replace with comma, period, or split the sentence. Strong AI writing tell.",,,false,false,
–,,"En dashes are banned. Use plain hyphen or comma. AI writing tell.",,,false,false,
pivoting,,"Never frame as pivoting. Claim the target role directly.",,,false,false,
aspiring,,"Drop hedging language. Claim the role.",,,false,false,
transitioning,,"Never frame as transitioning. Claim the target role directly.",,,false,false,
juxtaposition,,"Banned phrasing per rules of engagement. Rewrite directly.",,,false,false,
delve,explore,"AI writing tell. Use 'explore' or 'examine'.",,,false,true,
tapestry,,"AI writing tell. Drop entirely.",,,false,false,
nuanced,,"Overused AI word. Drop or rewrite specifically.",,,false,false,
furthermore,also,"Stiff transition. Use 'also' or start a new sentence.",,,false,true,
moreover,also,"Stiff transition. Use 'also' or start a new sentence.",,,false,true,
crucial,important,"Overused AI word. Use 'important' or 'critical'.",,,false,true,
realm,area,"AI writing tell. Use 'area' or 'space'.",,,false,true,
multifaceted,,"AI writing tell. Drop or rewrite.",,,false,false,
seamless,,"Marketing fluff. Drop or rewrite.",,,false,false,
intricate,complex,"AI writing tell. Use 'complex'.",,,false,true,
leverage,use,"Corporate speak. Use 'use'.",,,false,true,
utilize,use,"Wordy. Use 'use'.",,,false,true,
plethora,many,"Pretentious. Use 'many' or 'lots'.",,,false,true,
"It's important to note",,"AI hedging. Drop. State directly.",,,false,false,
"In essence",,"AI filler. Drop or rewrite.",,,false,false,
"When it comes to",,"AI filler. Drop or rewrite.",,,false,false,
robust,strong,"Overused. Use 'strong' or specific descriptor.",,,false,true,
elevate,improve,"Marketing fluff. Use 'improve'.",,,false,true,
streamline,simplify,"Marketing fluff. Use 'simplify'.",,,false,true,
